name,ratings,location,price_lakhs,price_crores,area_sqft,bhk
gm global techies town,3.9,electronic city,114.99999999999999,1.15,1500,3
assetz sun and sanctum,,"battarahalli, near kr puram",227.99999999999997,2.28,1708,3
sattva misty charm,4.0,kanakapura road,99.0,0.99,974,2
srr,,"b narayanapura, mahadevapura",79.0,0.79,1185,2
provident park square,4.1,kanakapura road,96.0,0.96,1108,3
"doddaballapur, doddaballapur road, bangalore north",,"doddaballapur, doddaballapur road",112.99999999999999,1.13,2100,3
prestige jindal city,4.1,tumkur road,125.0,1.25,962,2
prestige primrose hills,,"uttarahalli manavarthekaval, kanakapura road",100.0,1.0,988,2
salarpuria silver woods,,"nagavarapalya, old madras road",254.99999999999997,2.55,1813,3
samruddhi,,uttarahalli,95.0,0.95,1320,3
bhartiya city nikoo homes 1,,thanisandra,280.0,2.8,2800,5
